GUID	| Time
1334	|1,74176
1335	|1,724144
1336	|1,766086
1337	|1,732814
1338	|1,733
1339	|1,807409
1340	|1,675583
1341	|1,724005
1342	|1,71685
1343	|1,724291
1344	|1,724424
1345	|1,70051
1346	|1,715751
1347	|1,774405
1348	|1,716929
1349	|1,765555
1350	|1,600851
1351	|1,699385
1352	|2,038015
1353	|1,942013
1354	|1,79891
1355	|1,650847
1356	|1,72391
1357	|1,766565
1358	|1,741295
1359	|1,684973
1360	|1,672627
1361	|1,741821
1362	|1,740525
1363	|1,757851
1364	|1,700266
1365	|1,707452
1366	|1,733005
1367	|1,816598
1368	|1,67414
1369	|1,757955
1370	|1,758261
1371	|1,865204
1372	|1,813019
1373	|1,943584
1374	|1,790234
1375	|1,692435
1376	|1,732035
1377	|1,848904
1378	|1,659297
1379	|1,657499
1380	|1,766459
1381	|1,724914
1382	|1,782075
1383	|1,773904
1384	|1,800593
1385	|1,765333
1386	|1,782313
1387	|1,684238
1388	|1,797041
1389	|1,759389
1390	|1,733549
1391	|1,781954
1392	|1,853403
1393	|1,969743
1394	|1,70756
1395	|1,816366
1396	|1,674453
1397	|1,658173
1398	|1,725372
1399	|1,765524
1400	|1,799088
1401	|1,759411
1402	|1,781089
1403	|1,691777
1404	|1,725268
1405	|1,846686
1406	|1,726071
1407	|1,708969
1408	|1,781807
1409	|1,742196
1410	|1,740914
1411	|1,6418
1412	|1,68321
1413	|1,823455
1414	|1,741215
1415	|1,766781
1416	|1,715688
1417	|1,799328
1418	|1,73348
1419	|1,757206
1420	|1,676046
1421	|1,66562
1422	|1,675341
1423	|1,748972
1424	|1,750375
1425	|1,698956
1426	|1,708745
1427	|1,756985
1428	|1,717065
1429	|1,68272
1430	|1,765959
1431	|1,70037
1432	|2,137536
1433	|1,957881
1434	|1,774982
1435	|1,773999
1436	|1,78274
1437	|1,716797
1438	|1,84201
1439	|1,648694
1440	|1,683387
1441	|1,715673
1442	|1,766355
1443	|1,749165
1444	|1,691982
1445	|1,699968
1446	|1,66601
1447	|1,782565
1448	|1,617545
1449	|1,691077
1450	|1,674455
1451	|1,700518
1452	|2,079952
1453	|1,899394
1454	|1,750405
1455	|1,674292
1456	|1,699492
1457	|1,813752
1458	|1,644036
1459	|1,724588
1460	|1,824433
1461	|1,699769
1462	|1,699421
1463	|1,74181
1464	|1,649487
1465	|1,757712
1466	|1,73403
1467	|1,756813
1468	|1,758057
1469	|1,699474
1470	|1,675149
1471	|1,740922
1472	|1,69231
1473	|1,923088
1474	|1,66678
1475	|1,807127
1476	|1,708082
1477	|1,733761
1478	|1,773513
1479	|1,675601
1480	|1,708024
1481	|1,732117
1482	|1,675088
1483	|1,74993
1484	|1,807223
1485	|1,799905
1486	|1,724405
1487	|1,682789
1488	|1,74139
1489	|1,765852
1490	|1,716362
1491	|1,733264
1492	|1,716601
1493	|2,146964
1494	|1,807744
1495	|1,774396
1496	|1,749431
1497	|1,816926
1498	|1,748513
1499	|1,824519
1500	|1,599887
1501	|1,675067
1502	|1,79082
1503	|1,816561
1504	|1,78209
1505	|1,700184
1506	|1,732376
1507	|1,725035
1508	|1,765647
1509	|1,642799
1510	|1,731754
1511	|1,658443
1512	|1,716389
1513	|2,09795
1514	|1,625014
1515	|1,692074
1516	|1,682564
1517	|1,716504
1518	|1,80728
1519	|1,691608
1520	|1,700093
1521	|1,658768
1522	|1,690791
1523	|1,67513
1524	|1,642128
1525	|1,707432
1526	|1,758877
1527	|1,723727
1528	|1,699472
1529	|1,641941
1530	|1,71674
1531	|1,690925
1532	|1,774734
1533	|1,725389
1534	|1,715129
1535	|1,79721
1536	|1,743507
1537	|1,782505
