GUID	|Time
942	|1,915333
943	|1,857348
944	|1,857625
945	|1,840165
946	|1,873921
947	|1,815672
948	|1,890398
949	|1,896019
950	|1,951146
951	|1,840607
952	|1,915323
953	|1,90697
954	|1,882332
955	|1,724307
956	|1,799662
957	|1,76603
958	|1,848535
959	|1,873836
960	|1,940068
961	|1,882337
962	|1,807444
963	|1,831577
964	|1,841252
965	|1,724745
966	|1,890158
967	|1,790891
968	|1,757904
969	|1,865385
970	|1,824058
971	|1,915081
972	|1,832559
973	|1,716456
974	|1,832821
975	|1,831631
976	|1,824268
977	|1,890127
978	|1,89875
979	|2,347129
980	|1,931933
981	|1,898323
982	|1,823897
983	|1,898738
984	|2,006106
985	|1,857845
986	|1,840659
987	|1,873703
988	|1,848916
989	|1,82426
990	|1,915587
991	|1,806883
992	|1,849448
993	|1,83191
994	|1,799193
995	|1,88211
996	|1,882126
997	|2,064241
998	|2,04016
999	|1,881933
1000	|1,920924
1001	|1,827196
1002	|1,873334
1003	|1,923703
1004	|1,873736
1005	|1,865768
1006	|1,873315
1007	|1,841023
1008	|1,840898
1009	|1,840396
1010	|1,849651
1011	|1,823328
1012	|1,733301
1013	|1,782242
1014	|1,874164
1015	|1,79045
1016	|1,882266
1017	|1,782591
1018	|1,840486
1019	|1,841374
1020	|1,831556
1021	|1,799262
1022	|1,824614
1023	|1,765384
1024	|1,782885
1025	|1,757921
1026	|1,740753
1027	|1,733013
1028	|1,832801
1029	|1,806893
1030	|1,840798
1031	|1,724497
1032	|1,774257
1033	|1,790794
1034	|1,807587
1035	|1,749945
1036	|2,106077
1037	|1,757549
1038	|1,773966
1039	|1,816135
1040	|1,798686
1041	|1,799275
1042	|1,832128
1043	|1,799843
1044	|1,690932
1045	|1,84865
1046	|1,808503
1047	|1,814952
1048	|1,757666
1049	|1,775426
1050	|1,82273
1051	|1,882143
1052	|1,857427
1053	|1,873763
1054	|1,791251
1055	|1,798781
1056	|1,807412
1057	|1,741188
1058	|1,774473
1059	|1,790605
1060	|1,799732
1061	|1,8236
1062	|1,824112
1063	|1,840662
1064	|1,915738
1065	|1,873246
1066	|1,874444
1067	|1,781926
1068	|1,850123
1069	|1,822994
1070	|1,816035
1071	|1,799067
1072	|1,870973
1073	|1,810079
1074	|1,83271
1075	|1,856329
1076	|1,841362
1077	|1,841103
1078	|1,840065
1079	|1,91532
1080	|1,873805
1081	|1,791318
1082	|1,78242
1083	|1,866014
1084	|1,724042
1085	|1,757805
1086	|1,765574
1087	|1,799487
1088	|1,779154
1089	|1,810874
1090	|1,757693
1091	|1,915498
1092	|1,782363
1093	|1,766073
1094	|1,873752
1095	|1,782615
1096	|1,807538
1097	|1,749416
1098	|1,72446
1099	|1,799214
1100	|1,790816
1101	|1,741753
1102	|1,798618
1103	|1,790303
1104	|1,77483
1105	|1,815968
1106	|1,764069
1107	|1,767734
1108	|1,970686
1109	|1,818466
1110	|1,849169
1111	|1,757461
1112	|1,890477
1113	|1,824084
1114	|1,981018
1115	|1,74176
1116	|1,815816
1117	|1,815751
1118	|1,832471
1119	|1,815487
1120	|1,707986
1121	|1,824208
1122	|1,807333
1123	|1,865512
1124	|1,832569
1125	|1,840378
1126	|1,890505
1127	|1,890405
1128	|1,857123
1129	|1,840838
1130	|1,8488
1131	|1,832467
1132	|1,799207
1133	|1,741537
1134	|1,748921
1135	|1,832647
1136	|1,839775
1137	|1,883011
